Index,Sentiment,Date
160,-0.22970833333333332,2016-06-13
161,0.32757142857142857,2016-06-14
162,0.08828888888888889,2016-06-15
163,0.26004285714285713,2016-06-16
164,0.3973500000000001,2016-06-17
165,0.49914,2016-06-18
166,-0.03305000000000002,2016-06-19
167,0.4681,2016-06-20
168,-0.3690833333333334,2016-06-21
169,0.05357999999999998,2016-06-22
170,0.28378333333333333,2016-06-23
171,0.3194214285714286,2016-06-24
172,0.11910000000000001,2016-06-25
173,-0.1316823529411765,2016-06-26
174,-0.16629999999999998,2016-06-27
175,-0.1980454545454546,2016-06-28
176,0.43047777777777774,2016-06-29
177,0.27349166666666663,2016-06-30
178,-0.12845,2016-07-01
179,0.04274285714285714,2016-07-02
180,0.024850000000000004,2016-07-03
181,-0.06566923076923076,2016-07-04
182,-0.023360000000000013,2016-07-05
